PROLIFIC_PID,id,PID,date,timer_total,age,gender,gender_open,rururb01,rururb02,rururb02_open,rururb03,education,party,party_open,party_closer,party_preference,party_strength,party_importance,party_importance_raw,affpol_raw,affpol_weighted,valence_democrats,valence_republicans,arousal_democrats,arousal_republicans,condition,outparty_estimate,deviation,control_est_dem,control_est_rep,treat_est_dem_01,treat_est_dem_02,treat_est_dem_03,treat_est_rep_01,treat_est_rep_02,treat_est_rep_03,manip_check_01,democratic_support,freefair,freefair_raw,ethnicity01,ethnicity02,ethnicity_open,income,treat_dem_surprise,treat_rep_surprise,treat_dem_credible,treat_rep_credible,purpose,feedback,pre_commitment,pre_attention,post_attention,max_boxes,easy65,hard80,hard95,work_total,work_voteurban,work_voterural,work_ingroup,work_outgroup,work_difference,democratic_support_raw,antidemocratic_01,antidemocratic_02,antidemocratic_03,antidemocratic_04,democratic_01,democratic_02,democratic_03,democratic_04,freefair_01,freefair_02,freefair_02_r,inparty,outparty
10,R_3qEowcf9aMClXgY,P260,24/02/2026 16:36,976,45,Man,,Suburb,Suburb,,1,2-year college degree,Democrat,,NA,Democrat,Strong,-1.79103877831093,30,-1.2159966278785,-1.24645127328787,30,15,15,15,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,0.898803886414699,0.293190368150917,9,Black or African-American,NA,,"$30,000 to $39,999",NA,NA,NA,NA,unique,No.,"Yes, I will",passed,passed,16,10,13,15,8,8,0,8,0,8,400,0,0,0,0,100,100,100,100,4,1,5,Democrat,Republican
100,R_15TRtiv5Tioufx6,P18,24/02/2026 17:32,929,51,Woman,,Suburb,Rural,,2,2-year college degree,Republican,,NA,Republican,Not very strong,-0.656464317070593,57,-1.56061942405227,-1.30963777184888,45,50,84,70,Treatment,3,-1,NA,NA,NA,NA,NA,Sometimes,Often,NA,Republican,-0.0166640476476788,-2.29086033419615,5,White,NA,,"$40,000 to $49,999",NA,70,NA,66,Interesting,,"Yes, I will",passed,passed,17,11,14,16,12,6,6,6,6,0,320,1,1,76,2,99,99,24,98,4,5,1,Republican,Democrat
101,R_19QZmMFqPagiSMF,P26,24/02/2026 17:32,786,59,Man,,Rural area,Rural,,3,4-year college degree,Republican,,NA,Republican,Strong,0.352046315143038,81,0.851740149164102,0.89904588037211,11,86,88,50,Treatment,1,-3,NA,NA,NA,NA,NA,Almost never,Almost never,Often,Republican,0.898803886414699,0.293190368150917,9,White,NA,,"$10,000 to $19,999",NA,81,NA,0,Too Long. Needs a progress meter. I was bored and losing patience,,"Yes, I will",passed,passed,12,8,10,11,8,1,7,7,1,6,400,0,0,0,0,100,100,100,100,4,1,5,Republican,Democrat
102,R_1jl3xrQma8qPyiB,P95,24/02/2026 17:32,902,27,Woman,,City,City,,2,"College, but not degree",Democrat,,NA,Democrat,Strong,1.1504505656455,100,1.05851382686836,0.170112925232303,99,18,81,15,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,Republican,-0.0738807935265774,0.293190368150917,9,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,interesting,,"Yes, I will",passed,passed,26,17,21,25,7,6,1,6,1,5,315,0,1,83,1,100,99,17,99,4,1,5,Democrat,Republican
103,R_1BOQa6dUORVTvvP,P30,24/02/2026 17:33,791,75,Woman,,Small town,Suburb,,2,Postgraduate degree,Republican,,NA,Republican,Not very strong,-0.950613251466235,50,-1.42277030558277,-1.22959751314047,52,61,50,50,Control,3,-1,NA,Sometimes,NA,NA,NA,NA,NA,NA,Republican,0.383853173504612,0.293190368150917,9,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,ok,n/a,"Yes, I will",passed,passed,30,20,24,29,11,2,9,9,2,7,355,12,9,11,13,88,91,89,87,5,2,4,Republican,Democrat
104,R_7G0amQLWQdx4kAV,P574,24/02/2026 17:34,801,50,Woman,,Small town,Small-town,,4,High school,Republican,,NA,Republican,Strong,0.73023780222315,90,0.507117352990334,-1.12305814451951,5,70,0,70,Treatment,2,-2,NA,NA,NA,NA,NA,Rarely,Sometimes,Often,Republican,-1.61873293225684,-1.64484765860938,6,White,NA,,"$60,000 to $69,999",NA,90,NA,65,got to think a little,it was nice survey,"Yes, I will",passed,passed,15,10,12,14,12,7,5,5,7,-2,180,0,50,80,90,100,50,20,10,3,3,3,Republican,Democrat
106,R_1gOBs8o0HXs2xju,P84,24/02/2026 17:35,1235,47,Woman,,Small town,Small-town,,3,High school,Republican,,NA,Republican,Not very strong,-0.236251553648247,67,0.059107717964436,-0.609549460240595,20,72,12,29,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,Republican,0.280863030922594,-0.352822307435849,8,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,"a little long, wished it had been for my own bonus!",,"Yes, I will",passed,passed,21,14,17,20,10,1,9,9,1,8,346,25,7,4,18,75,93,96,82,4,2,4,Republican,Democrat
107,R_7vDt2uqm1g60QWl,P659,24/02/2026 17:35,1118,35,Woman,,City,City,,4,4-year college degree,Republican,,NA,Republican,Strong,1.1504505656455,100,-0.00981684127031756,0.171342272887599,50,100,53,100,Control,1,-3,NA,Almost never,NA,NA,NA,NA,NA,NA,Independent,-0.245531031163273,-0.352822307435849,8,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,It was such a good thing to participate in donations ,The study was good ,"Yes, I will",passed,passed,29,19,23,28,7,3,4,4,3,1,300,0,100,0,0,100,0,100,100,4,2,4,Republican,Democrat
108,R_6IEF7BONeIEItuC,P462,24/02/2026 17:35,973,21,Woman,,Small town,City,,5,4-year college degree,Republican,,NA,Republican,Not very strong,-0.0261451719370734,72,1.26528750457262,0.320487428656796,10,97,15,100,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,Republican,0.647050204547545,-2.29086033419615,5,Black or African-American,NA,,"$50,000 to $59,999",NA,NA,NA,NA,fulfilling,no,"Yes, I will",passed,passed,22,14,18,21,16,8,8,8,8,0,378,3,5,5,9,97,95,95,91,3,4,2,Republican,Democrat
109,R_1XtUSHiNvnw2KmR,P67,24/02/2026 17:36,776,21,Man,,Suburb,Rural,,3,"College, but not degree",Republican,,NA,Republican,Not very strong,-0.572421764386124,59,-1.04368522979162,-0.842228350023716,40,60,65,65,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,Republican,-1.19532901275299,-0.352822307435849,8,White,NA,,"$50,000 to $59,999",NA,NA,NA,NA,good,,"Yes, I will",passed,passed,23,15,18,22,9,1,8,8,1,7,217,73,37,39,34,27,63,61,66,4,2,4,Republican,Democrat
11,R_1EafCEqjRRlsyXQ,P36,24/02/2026 16:37,766,67,Woman,,Small town,Rural,,2,4-year college degree,Democrat,,NA,Democrat,Not very strong,-1.8750813309954,28,-1.73293082213916,-1.48311397446812,80,80,50,50,Control,1,-3,Almost never,NA,NA,NA,NA,NA,NA,NA,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"$20,000 to $29,999",NA,NA,NA,NA,"I knew I couldn't click 25 boxes in time, and 21 is a stretch also, so mostly I rested.",,"Yes, I will",passed,passed,26,17,21,25,1,1,0,1,0,1,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
110,R_5g8ekfcox5EKceN,P370,24/02/2026 17:36,1040,18,Man,,City,City,,4,4-year college degree,Democrat,,NA,Democrat,Strong,0.0999186570896305,75,0.507117352990334,0.340273337606808,87,22,40,65,Treatment,3,-1,NA,NA,Sometimes,Often,NA,NA,NA,NA,Democrat,-0.508728062206207,-0.998834983022615,7,Black or African-American,NA,,"$50,000 to $59,999",54,NA,61,NA,The task was awesome.,This was a nice study.,"Yes, I will",passed,passed,21,14,17,20,2,1,1,1,1,0,277,26,20,68,9,74,80,32,91,5,4,2,Democrat,Republican
111,R_3aOn2jE7iFpG1mp,P208,24/02/2026 17:37,1020,59,Woman,,Small town,Small-town,,5,High school,Republican,,NA,Republican,Strong,1.1504505656455,100,1.71329713959852,2.48093721056519,0,100,100,100,Treatment,1,-3,NA,NA,NA,NA,NA,Almost never,Often,NA,Republican,-3.67853578389719,-2.93687300978291,4,White,NA,,"$40,000 to $49,999",NA,100,NA,50,bored,no,"Yes, I will",passed,passed,12,8,10,11,0,0,0,0,0,0,0,100,100,100,100,0,0,0,0,1,3,3,Republican,Democrat
112,R_7PG8CsZdkYY9hIJ,P587,24/02/2026 17:38,1020,84,Woman,,Small town,City,,3,4-year college degree,Republican,,NA,Republican,Strong,0.772259078565384,91,0.472655073372957,-0.0309592573355764,19,83,20,77,Treatment,1,-3,NA,NA,NA,NA,NA,Almost never,Often,NA,Republican,-0.348521173745291,-2.29086033419615,5,White,NA,,"$30,000 to $39,999",NA,68,NA,65,very intresting,none,"Yes, I will",passed,passed,27,18,22,26,13,5,8,8,5,3,291,29,27,28,25,71,73,72,75,3,4,2,Republican,Democrat
114,R_60tiCGFhdKRmpY5,P416,24/02/2026 17:39,1085,52,Man,,City,City,,5,4-year college degree,Republican,,NA,Republican,Strong,1.1504505656455,100,-0.00981684127031756,0.373841749595351,49,99,78,100,Treatment,4,0,NA,NA,NA,NA,NA,Often,NA,NA,Republican,-2.95760478582307,-1.64484765860938,6,Black or African-American,NA,,"$40,000 to $49,999",NA,81,NA,87,engaging,no,"Yes, I will",passed,passed,12,8,10,11,15,8,7,7,8,-1,63,83,87,82,85,17,13,18,15,4,4,2,Republican,Democrat
